,Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM,Storage,GPU,Operating System,Weight,Price,Price_USD,Weight_LBS,CPU_Speed,CPU Brand,CPU Model,GPU Brand,GPU Model,Model Name Cleaned,Touchscreen,Screen_HD,Screen Quality,Total Storage in TB
0,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,128GB SSD,Intel Iris Plus Graphics 640,Mac OS,1.37,11912523.48,145375.19821632764,3.0203335100000004,2.3,Intel,Core i5,Intel,Iris Plus Graphics 640,MacBook Pro,0,0,2560x1600,0.125
1,Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,128GB Flash Storage,Intel HD Graphics 6000,Mac OS,1.34,7993374.48,97547.62720075955,2.954194820000001,1.8,Intel,Core i5,Intel,HD Graphics 6000,Macbook Air,0,0,1440x900,0.125
2,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,No OS,1.86,5112900.0,62395.58328746829,4.10059878,2.5,Intel,Core i5 7200U,Intel,HD Graphics 620,250 G6,0,1,1920x1080,0.25
3,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16,512GB SSD,AMD Radeon Pro 455,Mac OS,1.83,22563005.4,275348.99619615026,4.0344600900000005,2.7,Intel,Core i7,AMD,Radeon Pro 455,MacBook Pro,0,0,2880x1800,0.5
4,Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8,256GB SSD,Intel Iris Plus Graphics 650,Mac OS,1.37,16037611.2,195715.95481265703,3.0203335100000004,3.1,Intel,Core i5,Intel,Iris Plus Graphics 650,MacBook Pro,0,0,2560x1600,0.25
5,Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,500GB HDD,AMD Radeon R5,Windows,2.1,3556800.0,43405.62315649968,4.629708300000001,3.0,AMD,A9-Series 9420,AMD,Radeon R5,Aspire 3,0,0,1366x768,0.48828125
6,Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16,256GB Flash Storage,Intel Iris Pro Graphics,Mac OS,2.04,19028613.24,232216.82846553653,4.49743092,2.2,Intel,Core i7,Intel,Iris Pro Graphics,MacBook Pro,0,0,2880x1800,0.25
7,Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,256GB Flash Storage,Intel HD Graphics 6000,Mac OS,1.34,10303160.4,125735.23887859043,2.954194820000001,1.8,Intel,Core i5,Intel,HD Graphics 6000,Macbook Air,0,0,1440x900,0.25
8,Asus,ZenBook UX430UN,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia GeForce MX150,Windows,1.3,13293540.0,162228.51654741756,2.8660099000000003,1.8,Intel,Core i7 8550U,Nvidia,GeForce MX150,ZenBook UX430UN,0,1,1920x1080,0.5
9,Acer,Swift 3,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,1.6,6846840.0,83555.82457626189,3.5273968000000004,1.6,Intel,Core i5 8250U,Intel,UHD Graphics 620,Swift 3,0,1,1920x1080,0.25
